"","title","authors","keywords","doi"
"373","How much precision in reporting statistics is enough?","Habibzadeh F, Habibzadeh P.","NA","NA"
"374","Optimal adaptive two-stage designs for early phase II clinical trials.","Shan G, Wilding GE, Hutson AD, Gerstenberger S.","Simon's optimal design; adaptive design; brand-and-bound algorithm; optimal design","10.1002/sim.6794"
"375","Covariate dimension reduction for survival data via the Gaussian process latent variable model.","Barrett JE, Coolen AC.","Gaussian process latent variable model; Weibull proportional hazards model; dimensionality reduction; survival analysis","10.1002/sim.6784"
"376","A sequential classification rule based on multiple quantitative tests in the absence of a gold standard.","Zhang J, Zhang Y,, Chaloner K,, Stapleton JT.","EM algorithm; diagnostic test; mixture model; multivariate normal","10.1002/sim.6780"
"377","Differences in surrogate threshold effect estimates between original and simplified correlation-based validation approaches.","Schürmann C, Sieben W.","meta-analysis; surrogate endpoint validation; surrogate threshold effect","10.1002/sim.6778"
"378","Joint Bayesian variable and graph selection for regression models with network-structured predictors.","Peterson CB, Stingo FC, Vannucci M.","Bayesian variable selection; Gaussian graphical model; linear model; protein network","10.1002/sim.6792"
"379","Review and evaluation of penalised regression methods for risk prediction in low-dimensional data with few events.","Pavlou M, Ambler G, Seaman S, De Iorio M, Omar RZ.","Bayesian regularisation; overfitting; rare events; shrinkage","10.1002/sim.6782"
"380","Joint modelling of longitudinal and survival data: incorporating delayed entry and an assessment of model misspecification.","Crowther MJ,, Andersson TM, Lambert PC,, Abrams KR, Humphreys K.","adaptive Gauss-Hermite quadrature; delayed entry; joint modelling; left truncation; mixed effects; survival analysis","10.1002/sim.6779"
"381","Comparisons of the performance of different statistical tests for time-to-event analysis with confounding factors: practical illustrations in kidney transplantation.","Le Borgne F,,, Giraudeau B,,,, Querard AH,,, Giral M, Foucher Y,.","adjusted Kaplan-Meier estimator; adjusted log-rank test; inverse probability weighting; propensity score; simulation study; survival data","10.1002/sim.6777"
"382","On the use of kernel approximate Bayesian computation to infer population history.","Nakagome S.","NA","10.1266/ggs.90.153"
"383","Stagewise pseudo-value regression for time-varying effects on the cumulative incidence.","Zöller D, Schmidtmann I, Weinmann A, Gerds TA, Binder H.","competing risks; cumulative incidence; pseudo-values; stagewise regression; time-varying effects","10.1002/sim.6770"
"384","Predictive biomarkers for treatment selection: statistical considerations.","Chen JJ,, Lu TP, Chen YC, Lin WJ.","biomarker adaptive design; personalized and precision medicine; predictive biomarker; predictive classifier; subgroup analysis; subgroup selection","10.2217/bmm.15.84"
"385","Using pilot data to size a two-arm randomized trial to find a nearly optimal personalized treatment strategy.","Laber EB, Zhao YQ, Regh T, Davidian M, Tsiatis A, Stanford JB, Zeng D, Song R, Kosorok MR.","nonregular asymptotics; personalized medicine; projection confidence region; sample size calculation; treatment regimes","10.1002/sim.6783"
"386","A comparison of methods for construction of fetal reference charts.","Nevo D, Mandel M, Ein-Mor E, Shen O, Ben Chetrit A, Daniel-Spiegel E, Yagel S.","quantile estimation; quantile regression; reference charts; time-dependent quantiles","10.1002/sim.6774"
"387","Survival probabilities with time-dependent treatment indicator: quantities and non-parametric estimators.","Bernasconi DP, Rebora P, Iacobelli S,, Valsecchi MG, Antolini L.","Kaplan-Meier; counterfactual survival; immortal time bias; landmark; potential quantities; time-dependent treatment","10.1002/sim.6765"
"388","Regression models for expected length of stay.","Grand MK, Putter H.","landmarking; length of stay; multi-state models; pseudo-observations; restricted mean residual life","10.1002/sim.6771"
"389","Unified variable selection in semi-parametric models.","Terry W, Zhang H, Maity A, Arshad H, Karmaus W.","Bayesian methods; DNA methylation; Gaussian kernel; non-linear effects; reproducing kernel; single nucleotide polymorphisms; transformation; variable selection","10.1177/0962280215610928"
"390","Nonparametric estimation of time-dependent ROC curves conditional on a continuous covariate.","Rodríguez-Álvarez MX, Meira-Machado L, Abu-Assi E, Raposeiras-Roubín S.","acute coronary syndrome; kernel-type smoothing; survival analysis; time-dependent ROC curve","10.1002/sim.6769"
"391","A new diagnostic accuracy measure and cut-point selection criterion.","Dong T, Attwood K, Hutson A, Liu S, Tian L.","Alzheimer’s Disease; Maximum absolute determinant; optimal cut-points; volume for the parallelotope","10.1177/0962280215611631"
"392","Bayesian Biostatistics 2014 - Satellite conference of the International Biometric Conference.","Held L, Bornkamp B, Müller P.","NA","10.1002/bimj.201500127"
"393","Fast clustering using adaptive density peak detection.","Wang XF, Xu Y.","Clustering; automatic intrinsic parameter selection; density peak; fast computation; multivariate kernel density estimation","10.1177/0962280215609948"
"394","A time-varying effect model for studying gender differences in health behavior.","Yang S, Cranford JA, Li R, Zucker RA, Buu A.","B-spline; Longitudinal data; mixed effect; substance abuse; time-varying effect","10.1177/0962280215610608"
"395","Power evaluation of asymptotic tests for comparing two binomial proportions to detect direct and indirect association in large-scale studies.","Emily M, Friguet C.","Test power; genetic association studies; likelihood ratio test; local alternatives; odds ratio; <U+03C7>2 test","10.1177/0962280215608528"
"396","Variable selection in a flexible parametric mixture cure model with interval-censored data.","Scolas S, El Ghouch A, Legrand C, Oulhaj A.","accelerated failure time; adaptive LASSO; cure model; extended generalized gamma; interval-censoring","10.1002/sim.6767"
"397","Analyzing disease recurrence with missing at risk information.","Štupnik T, Pohar Perme M.","competing risk; mortality tables; multiple imputation; risk adjustment; survival","10.1002/sim.6766"
"398","Novel genetic markers define a subgroup of pathogenic Escherichia coli strains belonging to the B2 phylogenetic group.","Deshpande NP, Wilkins MR, Mitchell HM, Kaakoush NO.","B2 phylogenetic group; Escherichia coli; biomarker; comparative genomics; single nucleotide polymorphism","10.1093/femsle/fnv193"
"399","Recognizing the problem of delayed entry in time-to-event studies: Better late than never for clinical neuroscientists.","Betensky RA, Mandel M.","NA","10.1002/ana.24538"
"400","Resident physician's knowledge and attitudes toward biostatistics and research methods concepts.","Alzahrani SH, Aba Al-Khail BA.","NA","10.15537/smj.2015.10.11842"
"401","Fast and highly efficient pseudo-likelihood methodology for large and complex ordinal data.","Ivanova A, Molenberghs G,, Verbeke G,.","Generalized linear mixed model; asymptotic relative efficiency; joint modeling; pairwise fitting; proportional odds mixed model; pseudo-likelihood; reduced computation time; sample partition","10.1177/0962280215608213"
"402","Prediction of coronary artery disease risk based on multiple longitudinal biomarkers.","Yang L, Yu M, Gao S.","AARD; AUC; MRD; joint models; multiple longitudinal outcomes; prediction; time-to-event outcome","10.1002/sim.6754"
"403","Parsimonious covariate selection for a multicategory ordered response.","Hsu WH,, DiRienzo AG.","Continuation ratio model; bootstrap; categorical data; ultrahigh dimension; variable selection","10.1177/0962280215608120"
"404","The problem with categorical thinking by psychologists.","Young ME.","Categorical; Continuous; Learning; Modeling; Multilevel analysis; Sampling; Statistics","10.1016/j.beproc.2015.09.009"
"405","Development of a Bayesian response-adaptive trial design for the Dexamethasone for Excessive Menstruation study.","Holm Hansen C, Warner P, Parker RA,, Walker BR, Critchley HO, Weir CJ,.","Dose-finding; adaptive design; normal dynamic linear model; simulation; trial design development","10.1177/0962280215606155"
"406","Misspecified poisson regression models for large-scale registry data: inference for 'large n and small p'.","Grøn R, Gerds TA, Andersen PK.","Poisson regression; average exposure effect; misspecified models; registry data; sensitivity analysis","10.1002/sim.6755"
"407","Bayesian multi-scale modeling for aggregated disease mapping data.","Aregay M, Lawson AB, Faes C, Kirby RS.","Deviance information criterion; Watanabe-Akaike information criterion; predictive accuracy; scaling effect; shared random effect model","10.1177/0962280215607546"
"408","Nonidentical twins: Comparison of frequentist and Bayesian lasso for Cox models.","Zucknick M,, Saadati M, Benner A.","Shrinkage; Survival; l1-Penalized likelihood","10.1002/bimj.201400160"
"409","Mastering variation: variance components and personalised medicine.","Senn S.","components of variation; cross-over trials; n-of-1 trials; personalised medicine; random effects","10.1002/sim.6739"
"410","Variational methods for fitting complex Bayesian mixed effects models to health data.","Lee CY, Wand MP.","Bayesian inference; Markov chain Monte Carlo; group-specific curves; longitudinal and multilevel data; mean field variational Bayes approximation; semiparametric regression","10.1002/sim.6737"
"411","An ensemble survival model for estimating relative residual longevity following stroke: Application to mortality data in the chronic dialysis population.","Phadnis MA, Wetmore JB,, Shireman TI,, Ellerbeck EF, Mahnken JD.","Additive hazards; generalized gamma; relative times; residual median life; semi-Markov model","10.1177/0962280215605107"
"412","Detecting time-specific differences between temporal nonlinear curves: Analyzing data from the visual world paradigm.","Oleson JJ, Cavanaugh JE, McMurray B, Brown G.","Autocorrelation; bootstrap; multiple comparisons; time series","10.1177/0962280215607411"
"413","A regression method for modelling geometric rates.","Bottai M.","Incidence; life tables; quantile regression; survival analysis; transformations","10.1177/0962280215606474"
"414","A joint frailty-copula model between tumour progression and death for meta-analysis.","Emura T, Nakatochi M, Murotani K, Rondeau V.","Dependent censoring; dynamic prediction; semicompeting risk; spline; surrogate endpoint; survival analysis","10.1177/0962280215604510"
"415","Simultaneous comparisons of treatments at multiple time points: Combined marginal models versus joint modeling.","Pallmann P, Pretorius M, Ritz C.","AICc; Longitudinal data; generalized least squares; linear mixed-effects model; repeated measurements","10.1177/0962280215603743"
"416","A new approach to categorising continuous variables in prediction models: Proposal and validation.","Barrio I,, Arostegui I,,, Rodríguez-Álvarez MX, Quintana JM,.","Categorisation; cut point; prediction models; validation","10.1177/0962280215601873"
"417","[Four numbers and a bit more basic knowledge of mathematics].","Günther J, Briel M, Suter K.","NA","NA"
"418","Testing independence of bivariate interval-censored data using modified Kendall's tau statistic.","Kim Y, Lim J, Park D.","Bivariate failure time data; Case 2 interval-censored data; Current status data; Kendall's tau; Testing independence","10.1002/bimj.201300162"
"419","Critical Appraisal Skills Among Canadian Obstetrics and Gynaecology Residents: How Do They Fare?","Bougie O, Posner G, Black AY.","biostatistics; critical appraisal; evidence-based medicine; obstetrics and gynaecology residents; resident education","10.1016/S1701-2163(15)30203-6"
"420","The perceptual processing capacity of summary statistics between and within feature dimensions.","Attarha M, Moore CM.","NA","10.1167/15.4.9"
"421","Growth reconstitution following antiretroviral therapy and nutritional supplementation: systematic review and meta-analysis.","McGrath CJ, Diener L, Richardson BA, Peacock-Chambers E, John-Stewart GC.","NA","10.1097/QAD.0000000000000783"
"422","Do Subjective Measures Improve the Ability to Identify Limited Health Literacy in a Clinical Setting?","Goodman MS, Griffey RT, Carpenter CR, Blanchard M, Kaphingst KA.","Biostatistics; Health Literacy","10.3122/jabfm.2015.05.150037"
"423","Biostatistics, ASPPH, and Privileged Knowledge.","Houghton F.","NA","10.1177/003335491513000404"
"424","Optimization of the Expression Conditions of CGA-N46 in Bacillus subtilis DB1342(p-3N46) by Response Surface Methodology.","Li RF, Wang B, Liu S, Chen SH, Yu GH, Yang SY, Huang L, Yin YL, Lu ZF.","Antifungal peptide; Bacillus subtilis engineered strain; Biostatistic analysis; Biostatistic computer software; CGA-N46; Culture conditions optimization; Genetic engineering expression; Response surface methodology; Two-level factorial experiments","10.1007/s12539-015-0115-x"
"425","Assessing agreement between two measurement systems: An alternative to the limits of agreement approach.","Stevens NT, Steiner SH, MacKay RJ.","Bias; homoscedasticity; interchangeability; measurement error; probability of agreement; repeatability","10.1177/0962280215601133"
"426","Comments on 'Assessing correlation of clustered mixed outcomes from a multivariate generalized linear mixed model'.","Inan G.","NA","10.1002/sim.6540"
"427","Direct and flexible marginal inference for semicontinuous data.","Smith VA, Preisser JS.","Generalized gamma; log-skew normal; marginalized models; two-part models; zero-inflation","10.1177/0962280215602290"
"428","Natural interpretations in Tobit regression models using marginal estimation methods.","Wang W, Griswold ME.","Tobit model; average-predicted-value approach; censored; direct-marginalization approach; overall exposure effects","10.1177/0962280215602716"
"429","Estimating the effect of treatment on binary outcomes using full matching on the propensity score.","Austin PC,,, Stuart EA,,.","Monte Carlo simulations; Propensity score; bias; full matching; inverse probability of treatment weighting; matching; observational studies","10.1177/0962280215601134"
"430","A comparison of confidence/credible interval methods for the area under the ROC curve for continuous diagnostic tests with small sample size.","Feng D, Cortese G, Baumgartner R.","AUC; Bayesian MCMC; Behrens–Fisher problem; Mann–Whitney; Wald statistic; bootstrap; empirical likelihood; higher order asymptotic; jackknife; kernel smoothing; profile likelihood; signed log-likelihood ratio statistic; small sample size","10.1177/0962280215602040"
"431","Ensemble summary statistics as a basis for rapid visual categorization.","Utochkin IS.","NA","10.1167/15.4.8"
"432","An improved procedure for estimation of malignant breast cancer prevalence using partially rank ordered set samples with multiple concomitants.","Hatefi A, Jafari Jozani M.","Breast cancer; cytological characteristics; malignant tumours; multiple concomitants; partial ranking; population proportion; ranked set sampling","10.1177/0962280215601458"
"433","Improving the efficiency of estimation in the additive hazards model for stratified case-cohort design with multiple diseases.","Kim S, Cai J, Couper D.","additive hazards models; case-cohort study; multiple events; multivariate diseases outcomes; stratified sampling; survival analysis","10.1002/sim.6623"
"434","Knowledge translation in biostatistics: a survey of current practices, preferences, and barriers to the dissemination and uptake of new statistical methods.","Pullenayegum EM,, Platt RW, Barwick M, Feldman BM,, Offringa M, Thabane L.","biostatistics; collaboration; knowledge; translation","10.1002/sim.6633"
"435","On the practice of ignoring center-patient interactions in evaluating hospital performance.","Varewyck M, Vansteelandt S, Eriksson M, Goetghebeur E.","Firth correction; causal effects; direct and indirect standardization; misspecified model; quality of care","10.1002/sim.6634"
"436","The choice of prior distribution for a covariance matrix in multivariate meta-analysis: a simulation study.","Hurtado Rúa SM, Mazumdar M, Strawderman RL.","Bayesian methods; Markov chain Monte Carlo; meta-analysis; multiple correlated outcomes; multivariate random-effects model; prior distributions; simulation study","10.1002/sim.6631"
"437","Meta-analysis of studies with bivariate binary outcomes: a marginal beta-binomial model approach.","Chen Y, Hong C, Ning Y, Su X.","Sarmanov family; bivariate beta-binomial model; composite likelihood; marginal model; meta-analysis","10.1002/sim.6620"
"438","Niels Keiding 70 years.","Andersen PK, Scheike TH.","NA","10.1007/s10985-015-9342-z"
"439","Sample size considerations for split-mouth design.","Zhu H, Zhang S, Ahn C.","Continuous and binary outcomes; dental clinical trial; generalized estimating equation; sample size; split-mouth","10.1177/0962280215601137"
"440","A comparative study of matched pair designs with two binary endpoints.","Jiang Y, Xu J.","Binary endpoint; equivalence; matched pair design; non-inferiority","10.1177/0962280215601136"
"441","Comparison of two treatments with skewed ordinal responses.","Lu TY, Poon WY, Cheung SH.","latent Weibull method; latent variable model; log-location-scale family; ordinal response; skewness; treatment comparison","10.1002/sim.6626"
"442","Global statistics are not neglected.","Hochstein S, Pavlovskaya M, Bonneh YS, Soroker N.","NA","10.1167/15.4.7"
"443","Sample size calculation for meta-epidemiological studies.","Giraudeau B, Higgins JP, Tavernier E,,, Trinquart L,,,.","meta-epidemiological study; multilevel model; sample size","10.1002/sim.6627"
"444","[BIOSTATISTICS FOR CANCER CLINICAL TRIALS].","Morita S.","NA","NA"
"445","Proceedings from the 34th Annual Conference of the International Society for Clinical Biostatistics, August 25-29, 2013, Munich, Germany.","[No authors listed]","NA","NA"
"446","Hierarchical likelihood inference on clustered competing risks data.","Christian NJ, Ha ID, Jeong JH.","cause-specific hazard; clustered data; competing risks; frailty models; hierarchical likelihood","10.1002/sim.6628"
"447","Terminating observation within matched pairs of subjects in a matched cohort analysis: a Monte Carlo simulation study.","Sutradhar R,,, Baxter NN,,, Austin PC,.","Monte Carlo simulations; bias; censoring; matched cohort study; terminate follow-up; treatment effect","10.1002/sim.6621"
"448","Inference on cancer screening exam accuracy using population-level administrative data.","Jiang H, Brown PE,,, Walter SD.","Bayesian inference; cancer screening; clustered analysis; latent-class model; random effect; test accuracy","10.1002/sim.6619"
"449","Validity of the Hochberg procedure revisited for clinical trial applications.","Huque MF.","Hochberg procedure; correlated tests; primary endpoints; truncated Hochberg procedure; type I error rate control","10.1002/sim.6617"
"450","A nonparametric fiducial interval for the Youden index in multi-state diagnostic settings.","Batterton KA, Schubert CM.","Youden index; confidence interval; fiducial interval; multi-state; small sample","10.1002/sim.6613"
"451","Bayesian restricted spatial regression for examining session features and patient outcomes in open-enrollment group therapy studies.","Paddock SM, Leininger TJ,, Hunter SB.","conditional autoregression; group therapy; multilevel model; random effects; rolling admissions; spatial confounding","10.1002/sim.6616"
"452","The partly Aalen's model for recurrent event data with a dependent terminal event.","Chen CM,, Shen PS, Chuang YW.","Aalen's model; additive model; frailty; recurrent event data; terminal event","10.1002/sim.6625"
"453","Semi-parametric estimation of random effects in a logistic regression model using conditional inference.","Petersen JH.","composite likelihood; estimation; logistic regression; random effects; rater agreement","10.1002/sim.6611"
"454","Apply a critical eye to statistics in research.","Davies N.","NA","10.7748/ns.29.50.66.s49"
"455","Lipid binding protein response to a bile acid library: a combined NMR and statistical approach.","Tomaselli S, Pagano K, Boulton S, Zanzoni S, Melacini G,, Molinari H, Ragona L.","NMR; chemical shift covariance analysis; dynamics; ligand interaction analysis; lipid binding proteins; redox potential","10.1111/febs.13405"
"456","Predictive Bayesian inference and dynamic treatment regimes.","Saarela O, Arjas E,, Stephens DA, Moodie EE.","Dynamic programming; Inverse probability of treatment weighting; Null-paradox; Optimal dynamic treatment regimes; Posterior predictive inference","10.1002/bimj.201400153"
"457","Utility-based optimization of phase II/III programs.","Kirchner M, Kieser M, Götte H, Schüler A.","drug development; expected utility; optimization; probability of success; program-wise planning","10.1002/sim.6624"
"458","A joint latent class analysis for adjusting survival bias with application to a trauma transfusion study.","Ning J, Rahbar MH,, Choi S, Hong C, Piao J, del Junco DJ, Fox EE, Rahbar E, Holcomb JB.","EM algorithm; induced dependent censoring; inverse weighting principle; latent class model; massive transfusion","10.1002/sim.6615"
"459","Development of the Biostatistics and Clinical Epidemiology Skills (BACES) assessment for medical residents.","Barlow PB, Skolits G, Heidel RE, Metheny W, Smith TL.","Assessment; MEDICAL EDUCATION & TRAINING; STATISTICS & RESEARCH METHODS; Test Development","10.1136/postgradmedj-2014-133197"
"460","Optimal linear combination of biomarkers for multi-category diagnosis.","Hsu MJ, Chen YH.","diagnostic testing; multi-class classification; prediction; receiver operating characteristic (ROC) curve","10.1002/sim.6622"
"461","Planning future studies based on the precision of network meta-analysis results.","Nikolakopoulou A, Mavridis D,, Salanti G.","clinical trial design; indirect evidence; network meta-analysis; precision; sample size","10.1002/sim.6608"
"462","Optimal full matching for survival outcomes: a method that merits more widespread use.","Austin PC,,, Stuart EA,,.","Monte Carlo simulations; bias; full matching; matching; observational studies; optimal matching; propensity score","10.1002/sim.6602"
"463","Classification and regression tree analysis vs. multivariable linear and logistic regression methods as statistical tools for studying haemophilia.","Henrard S,, Speybroeck N, Hermans C.","classification and regression tree; haemophilia; multivariable analysis; non-parametric statistics; random forest; statistics","10.1111/hae.12778"
"464","Parameter estimation in Cox models with missing failure indicators and the OPPERA study.","Brownstein NC,, Cai J, Slade GD, Bair E,.","Cox regression; Poisson regression; missing data; multiple imputation; survival analysis","10.1002/sim.6604"
"465","Latent class instrumental variables: a clinical and biostatistical perspective.","Baker SG, Kramer BS, Lindeman KS.","all-or-none compliance; causal inference; encouragement design, observational; paired availability design; principal stratification, randomized trial","10.1002/sim.6612"
"466","Flexible regression models for ROC and risk analysis, with or without a gold standard.","Branscum AJ, Johnson WO, Hanson TE, Baron AT.","Bayesian semiparametric; Polya tree; disease diagnosis; medical test evaluation","10.1002/sim.6610"
"467","A penalized robust semiparametric approach for gene-environment interactions.","Wu C,, Shi X, Cui Y, Ma S,.","gene-environment interactions; partially linear varying coefficient model; penalized selection; robustness","10.1002/sim.6609"
"468","In Tribute: David L. Sackett.","Stratford P.","NA","10.2522/ptj.2015.95.8.1084"
"469","Understanding relative risk, odds ratio, and related terms: as simple as it can get.","Andrade C.","NA","10.4088/JCP.15f10150"
"470","Limited sampling strategies for therapeutic drug monitoring of amikacin and kanamycin in patients with multidrug-resistant tuberculosis.","Dijkstra JA, van Altena R, Akkerman OW, de Lange WC, Proost JH, van der Werf TS, Kosterink JG, Alffenaar JW.","Amikacin; Kanamycin; Limited sampling; Pharmacokinetic model; Pharmacokinetics; Tuberculosis","10.1016/j.ijantimicag.2015.06.008"
"471","Nursing students' attitudes toward statistics: Effect of a biostatistics course and association with examination performance.","Kiekkas P, Panagiotarou A, Malja A, Tahirai D, Zykai R, Bakalis N, Stefanopoulos N.","Attitudes toward statistics; Biostatistics; Course; Examination performance; Nursing students","10.1016/j.nedt.2015.07.005"
"472","On generalized fixed sequence procedures for controlling the FWER.","Qiu Z, Guo W, Lynch G.","critical values; fallback procedure; familywise error rate; fixed sequence procedure; multiple testing; power","10.1002/sim.6603"
"473","Brick tunnel randomization and the momentum of the probability mass.","Kuznetsova OM.","allocation ratio preserving randomization; brick tunnel randomization; imbalance in treatment totals; large block size; restricted randomization; unequal allocation","10.1002/sim.6601"
"474","Nonparametric inference for time-dependent incremental cost-effectiveness ratios.","Yee LM, Gary Chan KC.","Fieller bands; cost-effectiveness analysis; induced informative censoring; nonparametric estimation; randomized clinical trials; survival analysis","10.1002/sim.6594"
"475","James Roger: A brief biography.","Kenward MG.","NA","10.1177/0962280214520734"
"476","Error adjustments for file linking methods using encrypted unique client identifier (eUCI) with application to recently released prisoners who are HIV+.","Gutman R, Sammartino CJ, Green TC, Montague BT.","eUCI; file linking; mixture models; multiple imputation","10.1002/sim.6586"
"477","Targeted Maximum Likelihood Estimation using Exponential Families.","Díaz I, Rosenblum M.","NA","10.1515/ijb-2014-0039"
"478","Viral evolution: beyond drift and shift.","Greenbaum BD, Ghedin E.","NA","10.1016/j.mib.2015.06.015"
"479","Variable-ratio matching with fine balance in a study of the Peer Health Exchange.","Pimentel SD, Yoon F, Keele L,.","entire number; fine balance; matching; observational study; optimal matching","10.1002/sim.6593"
"480","A general regression framework for group testing data, which incorporates pool dilution effects.","Wang D, McMahan CS, Gallagher CM.","biomarker; measurement error; pool testing; sensitivity; specificity","10.1002/sim.6578"
"481","HIV-1 Very Low Level Viremia Is Associated with Virological Failure in Highly Active Antiretroviral Treatment-Treated Patients.","Calcagno A, Motta I, Ghisetti V, Lo Re S, Allice T, Marinaro L, Milia MG, Tettoni MC, Trentini L, Orofino G, Salassa B, Di Perri G, Bonora S.","NA","10.1089/AID.2015.0102"
"482","Clinical Trial Adaptation by Matching Evidence in Complementary Patient Sub-groups of Auxiliary Blinding Questionnaire Responses.","Arandjelovic O.","NA","10.1371/journal.pone.0131524"
"483","Accelerated Sensitivity Analysis in High-Dimensional Stochastic Reaction Networks.","Arampatzis G, Katsoulakis MA, Pantazis Y.","NA","10.1371/journal.pone.0130825"
"484","Bayesian semiparametric analysis of recurrent failure time data using copulas.","Meyer R, Romeo JS,.","Archimedean copula; Bayesian analysis; Recurrent failures; Shared frailty; Survival analysis","10.1002/bimj.201400125"
"485","In pursuit of a science of agriculture: the role of statistics in field experiments.","Parolini G.","NA","10.1007/s40656-015-0075-9"
"486","Bacterial reference genes for gene expression studies by RT-qPCR: survey and analysis.","Rocha DJ, Santos CS, Pacheco LG.","NA","10.1007/s10482-015-0524-1"
"487","Quantitative and functional interrogation of parent-of-origin allelic expression biases in the brain.","Perez JD, Rubinstein ND, Fernandez DE, Santoro SW, Needleman LA, Ho-Shing O, Choi JJ, Zirlinger M, Chen SK, Liu JS, Dulac C.","Bcl-x; RNA-seq; apoptosis; cerebellum; genomic imprinting; molecular neuroscience; mouse; neuroscience","10.7554/eLife.07860"
"488","Does it help that efficacy has been proven once we start discussing (added) benefit?","Koch A, Ziert Y.","Assessment of clinical trials; Drug licensing; Reimbursement","10.1002/bimj.201400017"
"489","Response to letter by Frane: ""False discovery rate control is not always a replacement for Bonferroni-type adjustment"".","Glickman ME, Rao SR, Schultz MR.","NA","10.1016/j.jclinepi.2015.05.028"
"490","The Africa Center for Biostatistical Excellence: a proposal for enhancing biostatistics capacity for sub-Saharan Africa.","Machekano R, Young T, Rusakaniko S, Musonda P, Sartorius B, Todd J, Fegan G, Thabane L, Chikte U.","biostatistics; capacity building; center of excellence; collaboration; research; sub-Saharan Africa","10.1002/sim.6572"
"491","False discovery rate control is not always a replacement for Bonferroni adjustment (Letter commenting on: J Clin Epidemiol. 2014;67:850-7).","Frane AV.","NA","10.1016/j.jclinepi.2015.03.025"
"492","The Czech Surveillance System for Invasive Pneumococcal Disease, 2008-2013: A Follow-Up Assessment and Sensitivity Estimation.","Stock NK, Maly M, Sebestova H, Orlikova H, Kozakova J, Krizova P.","NA","10.1371/journal.pone.0131117"
"493","Pathological and prognostic significance of matrix metalloproteinase-2 expression in ovarian cancer: a meta-analysis.","Liu C.","Matrix metalloproteinase-2; Meta-analysis; Ovarian cancer; Survival rate","10.1007/s10238-015-0369-y"
"494","A Meta-Regression Method for Studying Etiological Heterogeneity Across Disease Subtypes Classified by Multiple Biomarkers.","Wang M, Kuchiba A, Ogino S.","causal inference; genomics; heterogeneity test; molecular diagnosis; omics; transdisciplinary epidemiology","10.1093/aje/kwv040"
"495","Biostatistics and Data Management Core at the University of Hawai'i John A. Burns School of Medicine.","Chen JJ, Castro R.","NA","NA"
"496","Sequence-Based Predictive Models of Resistance to HIV-1 Integrase Inhibitors: An n-Grams Approach to Phenotype Assessment.","Masso M.","NA","NA"
"497","Does Cox analysis of a randomized survival study yield a causal treatment effect?","Aalen OO, Cook RJ, Røysland K.","Causation; Collapsible model; Confounding; Hazard function; Survival data","10.1007/s10985-015-9335-y"
"498","Expanding the statistical toolbox: analytic approaches for cohort studies with healthcare-associated infectious outcomes.","Pierce RA, Lessler J, Milstone AM.","NA","10.1097/QCO.0000000000000179"
"499","Article Alerts: items from 2011, Part II.","Hafdahl AR,.","bibliography; literature search; meta-analysis; methodology; research synthesis; systematic review","10.1002/jrsm.1151"
"500","Phase III, randomized controlled trial in girls 9-15 years old to evaluate lot consistency of a novel nine-valent human papillomavirus L1 virus-like particle vaccine.","Luxembourg A, Moreira ED Jr, Samakoses R, Kim KH, Sun X, Maansson R, Moeller E, Christiano S, Chen J.","HPV; NCT# 00943722; immunogenicity; lot consistency; vaccination; vaccine","10.1080/21645515.2015.1009819"
"501","Geo-Demography of HIV/AIDS in Japan from 1985 to 2011: Incidence and Transmission Mode under Influence of Population Size/Density.","Yoshikura H.","NA","10.7883/yoken.JJID.2014.462"
"502","Bridging non-human primate correlates of protection to reassess the Anthrax Vaccine Adsorbed booster schedule in humans.","Schiffer JM, Chen L, Dalton S, Niemuth NA, Sabourin CL, Quinn CP.","AVA; Animal model; Anthrax; Anthrax Vaccine Adsorbed; Bacillus anthracis; Biothrax; Clinical trial; Correlates of protection; Non-clinical trial","10.1016/j.vaccine.2015.05.091"
"503","The current duration design for estimating the time to pregnancy distribution: a nonparametric Bayesian perspective.","Gasbarra D, Arjas E, Vehtari A, Slama R, Keiding N.","Data augmentation; Generalized gamma convolution process; Logistic process prior; McMC; Posterior consistency","10.1007/s10985-015-9333-0"
"504","No solution yet for combining two independent studies in the presence of heterogeneity.","Gonnermann A, Framke T, Großhennig A, Koch A.","NA","10.1002/sim.6473"
"505","Simultaneous synthesis of treatment effects and mapping to a common scale: an alternative to standardisation.","Ades AE, Lu G, Dias S, Mayo-Wilson E, Kounali D.","evidence synthesis; mapping; multiple outcomes; social anxiety","10.1002/jrsm.1130"
"506","Reporting standards for literature searches and report inclusion criteria: making research syntheses more transparent and easy to replicate.","Atkinson KM, Koenka AC, Sanchez CE, Moshontz H, Cooper H.","guidelines; literature search; meta-analysis; research synthesis","10.1002/jrsm.1127"
"507","The use of meta-analytic statistical significance testing.","Polanin JR, Pigott TD.","Type I errors; meta-analysis; meta-review; moderator analyses; multiplicity corrections; power analysis; statistical significance testing","10.1002/jrsm.1124"
"508","Combining randomized and non-randomized evidence in clinical research: a review of methods and applications.","Verde PE, Ohmann C.","bias modeling; cross-design synthesis; generalized evidence synthesis; hierarchical Bayesian models; network meta-analysis; observational studies; randomized control trials","10.1002/jrsm.1122"
"509","Inaccuracy of regression results in replacing bivariate correlations.","Aloe AM.","meta-analysis; partial correlation; partial effect sizes; regression results; semipartial correlation","10.1002/jrsm.1126"
